Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,200,1,2021-10-21,DAL,@,ATL,L 87-113,*,35:24,6,17,.353,2,7,.286,4,10,.400,.412,4,4,1.000,0,11,11,7,1,0,5,1,18,12.3,-24
2,201,2,2021-10-23,DAL,@,TOR,W 103-95,*,38:53,11,24,.458,2,10,.200,9,14,.643,.500,3,5,.600,0,9,9,12,0,1,5,3,27,19.4,1
3,202,3,2021-10-26,DAL,,HOU,W 116-106,*,34:16,10,25,.400,1,6,.167,9,19,.474,.420,5,5,1.000,2,12,14,7,2,1,4,3,26,19.9,15
4,203,4,2021-10-28,DAL,,SAS,W 104-99,*,34:20,11,19,.579,3,8,.375,8,11,.727,.658,0,3,.000,0,3,3,5,0,1,7,3,25,11.8,-19
5,204,5,2021-10-29,DAL,@,DEN,L 75-106,*,26:25,5,18,.278,1,4,.250,4,14,.286,.306,5,5,1.000,0,6,6,4,2,0,2,1,16,9.6,-32
6,205,6,2021-10-31,DAL,,SAC,W 105-99,*,35:12,10,21,.476,1,7,.143,9,14,.643,.500,2,6,.333,0,8,8,10,1,1,3,3,23,17.6,5
7,206,7,2021-11-02,DAL,,MIA,L 110-125,*,35:33,10,24,.417,3,9,.333,7,15,.467,.479,10,12,.833,2,1,3,5,0,0,3,2,33,20.8,-13
8,207,8,2021-11-03,DAL,@,SAS,W 109-108,*,36:11,10,25,.400,3,12,.250,7,13,.538,.460,0,2,.000,0,12,12,7,2,0,4,1,23,14.8,-17
9,208,9,2021-11-06,DAL,,BOS,W 107-104,*,35:04,12,21,.571,5,10,.500,7,11,.636,.690,4,4,1.000,1,8,9,5,0,1,6,4,33,22.8,10
10,209,10,2021-11-08,DAL,,NOP,W 108-92,*,33:16,10,21,.476,2,5,.400,8,16,.500,.524,3,5,.600,2,3,5,5,1,1,5,3,25,14.8,-2
11,210,11,2021-11-10,DAL,@,CHI,L 107-117,*,33:25,6,18,.333,1,6,.167,5,12,.417,.361,7,10,.700,1,7,8,10,4,1,4,0,20,19.1,-20
12,211,12,2021-11-12,DAL,@,SAS,W 123-109,*,36:26,11,23,.478,6,13,.462,5,10,.500,.609,4,8,.500,0,12,12,15,2,0,2,2,32,32.0,6
13,212,13,2021-11-15,DAL,,DEN,W 111-101,*,37:33,9,23,.391,2,7,.286,7,16,.438,.435,3,5,.600,1,7,8,11,2,1,4,3,23,17.7,4
13,,14,2021-11-17,DAL,@,PHO,L 98-105,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,,15,2021-11-19,DAL,@,PHO,L 104-112,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,,16,2021-11-21,DAL,@,LAC,L 91-97,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
14,213,17,2021-11-23,DAL,@,LAC,W 112-104 (OT),*,41:09,9,21,.429,4,11,.364,5,10,.500,.524,4,4,1.000,1,8,9,9,1,2,6,4,26,19.1,7
15,214,18,2021-11-27,DAL,,WAS,L 114-120,*,36:47,13,25,.520,3,9,.333,10,16,.625,.580,4,7,.571,0,4,4,10,0,0,4,3,33,22.5,-11
16,215,19,2021-11-29,DAL,,CLE,L 96-114,*,33:10,9,21,.429,7,11,.636,2,10,.200,.595,0,4,.000,2,8,10,10,1,0,4,2,25,19.3,-20
17,216,20,2021-12-01,DAL,@,NOP,W 139-107,*,27:27,11,16,.688,2,5,.400,9,11,.818,.750,4,4,1.000,1,3,4,14,1,0,8,1,28,25.2,29
18,217,21,2021-12-03,DAL,,NOP,L 91-107,*,34:51,7,20,.350,0,6,.000,7,14,.500,.350,7,9,.778,1,9,10,7,0,0,7,4,21,8.7,-10
18,,22,2021-12-04,DAL,,MEM,L 90-97,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
19,218,23,2021-12-07,DAL,,BRK,L 99-102,*,36:33,9,21,.429,3,11,.273,6,10,.600,.500,7,8,.875,1,5,6,9,0,0,1,5,28,22.0,-2
20,219,24,2021-12-08,DAL,@,MEM,W 104-96,*,35:55,10,19,.526,5,10,.500,5,9,.556,.658,1,2,.500,0,8,8,7,1,0,9,1,26,15.2,18
21,220,25,2021-12-10,DAL,@,IND,L 93-106,*,36:53,11,25,.440,1,8,.125,10,17,.588,.460,4,4,1.000,2,7,9,9,1,1,3,4,27,20.8,-9
21,,26,2021-12-12,DAL,@,OKC,W 103-84,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,27,2021-12-13,DAL,,CHO,W 120-96,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,28,2021-12-15,DAL,,LAL,L 104-107 (OT),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,29,2021-12-19,DAL,@,MIN,L 105-111,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,30,2021-12-21,DAL,,MIN,W 114-102,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,31,2021-12-23,DAL,,MIL,L 95-102,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,32,2021-12-25,DAL,@,UTA,L 116-120,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,33,2021-12-27,DAL,@,POR,W 132-117,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,34,2021-12-29,DAL,@,SAC,L 94-95,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,35,2021-12-31,DAL,@,SAC,W 112-96,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
