Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,134,1,2020-12-23,DAL,@,PHO,L 102-106,*,35:57,11,26,.423,0,6,.000,11,20,.550,.423,10,12,.833,2,6,8,5,0,0,1,2,32,22.3,-9
2,135,2,2020-12-25,DAL,@,LAL,L 115-138,*,34:08,9,19,.474,2,5,.400,7,14,.500,.526,7,8,.875,0,4,4,7,0,1,3,0,27,20.7,-14
3,136,3,2020-12-27,DAL,@,LAC,W 124-73,*,25:55,8,18,.444,0,5,.000,8,13,.615,.444,8,9,.889,0,9,9,8,1,0,2,0,24,21.5,29
4,137,4,2020-12-30,DAL,,CHO,L 99-118,*,24:04,4,10,.400,0,5,.000,4,5,.800,.400,4,7,.571,0,2,2,5,2,0,3,3,12,7.3,-27
5,138,5,2021-01-01,DAL,,MIA,W 93-83,*,35:49,9,22,.409,3,10,.300,6,12,.500,.477,6,9,.667,1,14,15,7,0,1,5,2,27,18.7,12
5,,6,2021-01-03,DAL,@,CHI,L 108-118,Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
6,139,7,2021-01-04,DAL,@,HOU,W 113-100,*,37:55,12,25,.480,3,10,.300,9,15,.600,.540,6,6,1.000,2,14,16,11,0,0,8,3,33,24.4,28
7,140,8,2021-01-07,DAL,@,DEN,W 124-117 (OT),*,43:17,13,22,.591,2,7,.286,11,15,.733,.636,10,15,.667,0,9,9,13,5,1,8,0,38,35.3,14
8,141,9,2021-01-09,DAL,,ORL,W 112-98,*,34:37,7,20,.350,3,9,.333,4,11,.364,.425,3,3,1.000,1,9,10,10,1,2,6,1,20,15.2,0
9,142,10,2021-01-13,DAL,@,CHO,W 104-93,*,34:48,14,25,.560,5,9,.556,9,16,.563,.660,1,2,.500,2,11,13,9,2,4,4,3,34,32.3,14
10,143,11,2021-01-15,DAL,@,MIL,L 109-112,*,35:45,12,24,.500,1,7,.143,11,17,.647,.521,3,7,.429,0,10,10,13,0,0,3,4,28,21.9,-2
11,144,12,2021-01-17,DAL,,CHI,L 101-117,*,37:30,13,30,.433,6,11,.545,7,19,.368,.533,4,6,.667,6,10,16,15,2,0,5,2,36,33.3,-7
12,145,13,2021-01-18,DAL,@,TOR,L 93-116,*,34:34,4,11,.364,0,3,.000,4,8,.500,.364,7,8,.875,2,5,7,9,0,0,3,0,15,14.7,-10
13,146,14,2021-01-20,DAL,@,IND,W 124-112,*,37:54,5,15,.333,0,3,.000,5,12,.417,.333,3,4,.750,0,12,12,12,0,1,3,0,13,13.8,11
14,147,15,2021-01-22,DAL,@,SAS,W 122-117,*,36:28,13,28,.464,4,12,.333,9,16,.563,.536,6,6,1.000,0,9,9,11,0,0,2,5,36,28.0,-6
15,148,16,2021-01-23,DAL,,HOU,L 108-133,*,29:28,9,18,.500,1,6,.167,8,12,.667,.528,7,12,.583,0,5,5,8,0,1,3,0,26,19.8,-15
16,149,17,2021-01-25,DAL,,DEN,L 113-117,*,39:03,11,23,.478,3,8,.375,8,15,.533,.543,10,10,1.000,2,9,11,16,4,1,5,3,35,37.1,8
17,150,18,2021-01-27,DAL,@,UTA,L 104-116,*,33:51,13,24,.542,2,7,.286,11,17,.647,.583,2,2,1.000,0,4,4,6,1,0,4,1,30,20.4,-7
18,151,19,2021-01-29,DAL,@,UTA,L 101-120,*,32:15,8,17,.471,2,6,.333,6,11,.545,.529,7,10,.700,0,6,6,7,1,0,2,2,25,20.0,-27
19,152,20,2021-01-30,DAL,,PHO,L 105-111,*,33:23,12,22,.545,3,7,.429,9,15,.600,.614,2,4,.500,0,8,8,7,0,0,4,3,29,19.7,2
20,153,21,2021-02-01,DAL,,PHO,L 108-109,*,38:18,7,19,.368,1,4,.250,6,15,.400,.395,10,11,.909,0,5,5,8,1,2,4,2,25,18.8,8
21,154,22,2021-02-03,DAL,@,ATL,W 122-116,*,37:50,8,20,.400,1,5,.200,7,15,.467,.425,10,10,1.000,1,7,8,14,2,1,4,1,27,27.1,3
22,155,23,2021-02-04,DAL,,GSW,L 116-147,*,32:26,8,20,.400,3,7,.429,5,13,.385,.475,8,9,.889,2,4,6,6,1,0,5,3,27,17.4,-28
23,156,24,2021-02-06,DAL,,GSW,W 134-132,*,38:11,12,23,.522,7,12,.583,5,11,.455,.674,11,14,.786,1,6,7,11,1,0,7,3,42,32.5,18
24,157,25,2021-02-08,DAL,,MIN,W 127-122,*,37:06,9,22,.409,1,7,.143,8,15,.533,.432,7,9,.778,0,8,8,5,1,0,7,4,26,11.7,4
25,158,26,2021-02-10,DAL,,ATL,W 118-117,*,36:35,9,18,.500,2,7,.286,7,11,.636,.556,8,10,.800,0,10,10,10,1,2,5,4,28,24.0,9
26,159,27,2021-02-12,DAL,,NOP,W 143-130,*,40:01,17,30,.567,5,8,.625,12,22,.545,.650,7,9,.778,1,7,8,12,1,1,3,4,46,39.3,13
27,160,28,2021-02-14,DAL,,POR,L 118-121,*,36:21,14,20,.700,5,8,.625,9,12,.750,.825,11,12,.917,1,6,7,9,0,0,5,4,44,37.4,-10
28,161,29,2021-02-22,DAL,,MEM,W 102-92,*,33:05,8,18,.444,3,10,.300,5,8,.625,.528,2,9,.222,0,7,7,5,2,1,4,1,21,12.7,5
29,162,30,2021-02-23,DAL,,BOS,W 110-107,*,37:53,11,23,.478,6,8,.750,5,15,.333,.609,3,4,.750,2,8,10,8,1,0,3,0,31,26.3,5
