Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
30,163,31,2021-02-25,DAL,@,PHI,L 97-111,*,29:25,6,13,.462,3,6,.500,3,7,.429,.577,4,6,.667,0,3,3,4,0,3,7,2,19,9.5,-20
31,164,32,2021-02-27,DAL,@,BRK,W 115-98,*,33:43,11,21,.524,3,10,.300,8,11,.727,.595,2,6,.333,0,6,6,7,2,0,1,2,27,22.0,21
32,165,33,2021-03-01,DAL,@,ORL,W 130-124,*,37:27,12,22,.545,5,10,.500,7,12,.583,.659,4,6,.667,1,9,10,9,0,0,4,0,33,27.3,5
32,,34,2021-03-03,DAL,,OKC,W 87-78,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
33,166,35,2021-03-10,DAL,,SAS,W 115-104,*,38:57,9,20,.450,2,10,.200,7,10,.700,.500,2,3,.667,1,11,12,12,0,0,6,4,22,16.0,18
33,,36,2021-03-11,DAL,@,OKC,L 108-116,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
34,167,37,2021-03-13,DAL,@,DEN,W 116-103,*,32:48,7,16,.438,3,10,.300,4,6,.667,.531,4,6,.667,0,5,5,12,0,0,3,3,21,17.5,9
35,168,38,2021-03-15,DAL,,LAC,L 99-109,*,38:23,9,23,.391,4,11,.364,5,12,.417,.478,3,4,.750,0,10,10,16,2,0,7,5,25,19.3,-2
36,169,39,2021-03-17,DAL,,LAC,W 105-89,*,42:48,16,28,.571,6,11,.545,10,17,.588,.679,4,5,.800,1,5,6,9,3,2,4,2,42,36.5,29
37,170,40,2021-03-19,DAL,@,POR,L 119-125,*,38:51,15,27,.556,4,13,.308,11,14,.786,.630,4,5,.800,0,9,9,9,1,0,4,1,38,30.3,-3
38,171,41,2021-03-21,DAL,@,POR,W 132-92,*,29:36,13,19,.684,8,9,.889,5,10,.500,.895,3,6,.500,2,5,7,4,0,0,5,2,37,27.6,24
39,172,42,2021-03-24,DAL,@,MIN,W 128-108,*,27:03,6,16,.375,2,9,.222,4,7,.571,.438,1,2,.500,0,4,4,4,1,1,4,1,15,7.1,7
39,,43,2021-03-26,DAL,,IND,L 94-109,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
39,,44,2021-03-27,DAL,@,NOP,L 103-112,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
40,173,45,2021-03-29,DAL,@,OKC,W 127-106,*,27:39,9,17,.529,4,10,.400,5,7,.714,.647,3,4,.750,0,3,3,7,2,0,3,3,25,19.9,6
41,174,46,2021-03-31,DAL,@,BOS,W 113-108,*,34:40,11,15,.733,7,11,.636,4,4,1.000,.967,7,11,.636,0,8,8,5,0,0,8,3,36,25.0,-2
42,175,47,2021-04-02,DAL,@,NYK,W 99-86,*,35:02,11,23,.478,3,8,.375,8,15,.533,.543,1,4,.250,0,8,8,7,1,0,5,2,26,15.6,-7
43,176,48,2021-04-03,DAL,@,WAS,W 109-87,*,32:20,12,24,.500,1,8,.125,11,16,.688,.521,1,4,.250,1,7,8,6,1,1,4,3,26,16.3,14
44,177,49,2021-04-05,DAL,,UTA,W 111-103,*,35:53,11,26,.423,6,11,.545,5,15,.333,.538,3,3,1.000,2,7,9,8,0,0,4,2,31,21.5,4
45,178,50,2021-04-07,DAL,@,HOU,L 93-102,*,37:27,9,26,.346,1,9,.111,8,17,.471,.365,4,5,.800,2,7,9,5,1,1,5,5,23,9.7,-7
46,179,51,2021-04-08,DAL,,MIL,W 116-101,*,36:55,11,20,.550,3,8,.375,8,12,.667,.625,2,5,.400,0,9,9,9,0,1,4,3,27,20.7,18
47,180,52,2021-04-11,DAL,,SAS,L 117-119,*,35:20,10,17,.588,2,8,.250,8,9,.889,.647,7,8,.875,0,3,3,7,1,0,5,2,29,21.7,-6
48,181,53,2021-04-12,DAL,,PHI,L 95-113,*,33:01,10,20,.500,2,7,.286,8,13,.615,.550,10,11,.909,2,2,4,4,1,1,4,0,32,24.1,-17
49,182,54,2021-04-14,DAL,@,MEM,W 114-113,*,34:16,10,20,.500,3,10,.300,7,10,.700,.575,6,9,.667,0,5,5,9,2,1,3,4,29,23.7,-4
50,183,55,2021-04-16,DAL,,NYK,L 109-117,*,38:03,7,16,.438,2,9,.222,5,7,.714,.500,6,10,.600,0,8,8,19,0,1,3,3,22,24.2,5
51,184,56,2021-04-18,DAL,,SAC,L 107-121,*,35:50,14,27,.519,4,13,.308,10,14,.714,.593,5,10,.500,2,6,8,4,1,3,4,5,37,24.8,-20
52,185,57,2021-04-21,DAL,,DET,W 127-117,*,33:00,10,22,.455,4,11,.364,6,11,.545,.545,6,10,.600,2,8,10,9,2,0,3,2,30,25.3,10
53,186,58,2021-04-22,DAL,,LAL,W 115-110,*,36:29,9,21,.429,3,9,.333,6,12,.500,.500,9,11,.818,1,8,9,8,3,0,5,5,30,22.8,-4
54,187,59,2021-04-24,DAL,,LAL,W 108-93,*,38:57,6,15,.400,2,6,.333,4,9,.444,.467,4,5,.800,0,8,8,13,0,0,6,1,18,14.6,26
55,188,60,2021-04-26,DAL,@,SAC,L 106-113,*,37:54,8,20,.400,4,12,.333,4,8,.500,.500,4,6,.667,0,8,8,8,0,0,4,2,24,15.6,-19
56,189,61,2021-04-27,DAL,@,GSW,W 133-103,*,28:06,15,23,.652,4,10,.400,11,13,.846,.739,5,5,1.000,2,4,6,8,2,0,7,3,39,30.9,29
56,,62,2021-04-29,DAL,@,DET,W 115-105,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
57,190,63,2021-05-01,DAL,,WAS,W 125-124,*,39:13,12,23,.522,1,6,.167,11,17,.647,.543,6,11,.545,2,10,12,20,0,0,1,4,31,33.5,6
58,191,64,2021-05-02,DAL,,SAC,L 99-111,*,36:28,11,22,.500,1,7,.143,10,15,.667,.523,7,8,.875,0,6,6,6,2,0,6,4,30,19.0,4
59,192,65,2021-05-04,DAL,@,MIA,W 127-113,*,30:16,8,15,.533,5,10,.500,3,5,.600,.700,2,5,.400,1,11,12,8,0,0,7,1,23,16.7,20
60,193,66,2021-05-06,DAL,,BRK,W 113-109,*,35:37,7,22,.318,5,13,.385,2,9,.222,.432,5,10,.500,1,9,10,8,2,0,6,0,24,14.4,7
61,194,67,2021-05-07,DAL,,CLE,W 110-90,*,23:09,8,17,.471,1,5,.200,7,12,.583,.500,7,7,1.000,1,7,8,1,0,1,3,4,24,14.9,7
62,195,68,2021-05-09,DAL,@,CLE,W 124-97,*,21:37,5,11,.455,0,2,.000,5,9,.556,.455,5,7,.714,1,4,5,5,2,0,1,2,15,14.1,4
63,196,69,2021-05-11,DAL,@,MEM,L 104-133,*,25:30,4,16,.250,0,4,.000,4,12,.333,.250,4,4,1.000,1,4,5,5,0,0,5,1,12,2.4,-23
64,197,70,2021-05-12,DAL,,NOP,W 125-107,*,31:16,12,24,.500,7,15,.467,5,9,.556,.646,2,2,1.000,1,7,8,8,0,0,4,1,33,25.0,24
65,198,71,2021-05-14,DAL,,TOR,W 114-110,*,34:13,7,19,.368,1,8,.125,6,11,.545,.395,5,5,1.000,1,9,10,11,0,1,1,4,20,18.7,-5
66,199,72,2021-05-16,DAL,@,MIN,L 121-136,*,20:44,6,13,.462,2,7,.286,4,6,.667,.538,4,5,.800,0,6,6,6,2,0,4,1,18,14.5,-15
,,,,,,,40-26,66,2261,647,1351,.479,192,548,.350,455,803,.567,.550,344,471,.730,54,473,527,567,64,36,281,152,1830,21.5,164
