Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2018-10-17,DAL,@,PHO,L 100-121,*,31:47,5,16,.313,0,5,.000,5,11,.455,.313,0,2,.000,2,6,8,4,0,0,4,3,10,0.8,-18
2,2,2,2018-10-20,DAL,,MIN,W 140-136,*,36:14,8,16,.500,4,9,.444,4,7,.571,.625,6,9,.667,1,5,6,3,2,1,6,3,26,16.6,6
3,3,3,2018-10-22,DAL,,CHI,W 115-109,*,35:48,7,14,.500,3,8,.375,4,6,.667,.607,2,2,1.000,0,3,3,6,1,0,3,3,19,13.9,5
4,4,4,2018-10-24,DAL,@,ATL,L 104-111,*,34:11,7,18,.389,2,9,.222,5,9,.556,.444,5,8,.625,0,9,9,2,1,1,3,2,21,12.0,-12
5,5,5,2018-10-26,DAL,@,TOR,L 107-116,*,35:09,7,14,.500,4,6,.667,3,8,.375,.643,4,4,1.000,1,4,5,4,0,0,3,1,22,16.3,0
6,6,6,2018-10-28,DAL,,UTA,L 104-113,*,36:53,5,13,.385,2,6,.333,3,7,.429,.462,2,2,1.000,1,5,6,5,1,0,5,1,14,8.2,4
7,7,7,2018-10-29,DAL,@,SAS,L 108-113 (OT),*,39:55,11,18,.611,4,6,.667,7,12,.583,.722,5,6,.833,2,6,8,4,1,1,6,0,31,24.1,5
8,8,8,2018-10-31,DAL,@,LAL,L 113-114,*,28:08,5,11,.455,3,6,.500,2,5,.400,.591,1,2,.500,1,4,5,7,1,0,2,2,14,12.9,-13
9,9,9,2018-11-02,DAL,,NYK,L 106-118,*,34:58,8,15,.533,2,6,.333,6,9,.667,.600,0,1,.000,2,7,9,6,1,0,4,3,18,13.8,-10
10,10,10,2018-11-06,DAL,,WAS,W 119-100,*,33:16,9,16,.563,2,7,.286,7,9,.778,.625,3,3,1.000,1,6,7,3,1,0,5,2,23,15.2,11
11,11,11,2018-11-07,DAL,@,UTA,L 102-117,*,35:12,7,14,.500,3,4,.750,4,10,.400,.607,7,7,1.000,1,5,6,2,0,0,5,3,24,14.4,-15
12,12,12,2018-11-10,DAL,,OKC,W 111-96,*,31:22,9,15,.600,1,4,.250,8,11,.727,.633,3,4,.750,0,6,6,8,1,0,4,4,22,17.5,16
13,13,13,2018-11-12,DAL,@,CHI,W 103-98,*,31:47,3,12,.250,2,7,.286,1,5,.200,.333,3,4,.750,2,4,6,3,1,0,3,1,11,5.7,-13
14,14,14,2018-11-14,DAL,,UTA,W 118-68,*,25:09,5,13,.385,2,4,.500,3,9,.333,.462,1,2,.500,1,5,6,2,2,1,3,1,13,8.4,17
15,15,15,2018-11-17,DAL,,GSW,W 112-109,*,35:47,9,20,.450,2,8,.250,7,12,.583,.500,4,4,1.000,1,8,9,4,0,0,3,3,24,15.3,18
16,16,16,2018-11-19,DAL,@,MEM,L 88-98,*,36:32,6,20,.300,3,9,.333,3,11,.273,.375,0,0,,1,9,10,3,0,1,3,2,15,5.8,3
17,17,17,2018-11-21,DAL,,BRK,W 119-113,*,33:52,5,11,.455,2,3,.667,3,8,.375,.545,9,11,.818,2,7,9,4,2,0,3,4,21,18.2,1
