Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
48,378,56,2024-02-22,DAL,,PHO,W 123-113,*,38:03,14,27,.519,6,11,.545,8,16,.500,.630,7,7,1.000,0,9,9,11,3,0,3,4,41,36.5,9
49,379,57,2024-02-25,DAL,@,IND,L 111-133,*,33:06,10,21,.476,4,8,.500,6,13,.462,.571,9,12,.750,1,5,6,6,1,2,3,4,33,25.3,-13
50,380,58,2024-02-27,DAL,@,CLE,L 119-121,*,41:16,17,29,.586,6,11,.545,11,18,.611,.690,5,5,1.000,0,9,9,14,3,0,1,1,45,45.6,13
51,381,59,2024-02-28,DAL,@,TOR,W 136-125,*,35:37,11,23,.478,1,8,.125,10,15,.667,.500,7,9,.778,1,11,12,16,2,0,5,3,30,28.5,11
52,382,60,2024-03-01,DAL,@,BOS,L 110-138,*,36:33,14,25,.560,3,9,.333,11,16,.688,.620,6,8,.750,3,9,12,11,0,0,2,3,37,33.6,-20
53,383,61,2024-03-03,DAL,,PHI,L 116-120,*,40:17,14,27,.519,4,10,.400,10,17,.588,.593,6,6,1.000,2,9,11,10,1,0,7,2,38,29.0,9
54,384,62,2024-03-05,DAL,,IND,L 120-137,*,42:48,15,30,.500,4,13,.308,11,17,.647,.567,5,6,.833,0,10,10,11,0,0,5,4,39,27.7,-18
55,385,63,2024-03-07,DAL,,MIA,W 114-108,*,39:33,12,24,.500,7,13,.538,5,11,.455,.646,4,4,1.000,0,11,11,11,1,0,4,2,35,30.2,11
56,386,64,2024-03-09,DAL,@,DET,W 142-124,*,36:38,13,24,.542,4,13,.308,9,11,.818,.625,9,10,.900,0,10,10,10,3,2,6,1,39,35.0,13
57,387,65,2024-03-11,DAL,@,CHI,W 127-92,*,33:37,9,23,.391,6,15,.400,3,8,.375,.522,3,4,.750,2,10,12,14,1,0,2,2,27,26.5,34
58,388,66,2024-03-13,DAL,,GSW,W 109-99,*,29:35,7,18,.389,1,6,.167,6,12,.500,.417,6,8,.750,1,2,3,9,0,0,6,0,21,12.0,14
58,,67,2024-03-14,DAL,@,OKC,L 119-126,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
59,389,68,2024-03-17,DAL,,DEN,W 107-105,*,40:08,12,27,.444,5,11,.455,7,16,.438,.537,8,10,.800,4,6,10,3,2,0,3,3,37,26.6,-1
60,390,69,2024-03-19,DAL,@,SAS,W 113-107,*,40:26,6,27,.222,2,12,.167,4,15,.267,.259,4,5,.800,0,10,10,16,1,0,4,0,18,12.3,5
61,391,70,2024-03-21,DAL,,UTA,W 113-97,*,34:40,11,23,.478,4,10,.400,7,13,.538,.565,8,12,.667,1,8,9,8,4,0,4,2,34,28.6,-3
62,392,71,2024-03-25,DAL,@,UTA,W 115-105,*,41:11,10,24,.417,2,11,.182,8,13,.615,.458,7,8,.875,2,10,12,13,1,1,4,3,29,25.8,10
63,393,72,2024-03-26,DAL,@,SAC,W 132-96,*,31:41,10,18,.556,4,8,.500,6,10,.600,.667,4,5,.800,1,10,11,6,2,0,4,4,28,23.3,18
64,394,73,2024-03-29,DAL,@,SAC,W 107-103,*,40:52,6,14,.429,4,8,.500,2,6,.333,.571,10,14,.714,0,9,9,12,2,0,5,2,26,24.3,6
65,395,74,2024-03-31,DAL,@,HOU,W 125-107,*,35:12,18,30,.600,9,16,.563,9,14,.643,.750,2,5,.400,0,12,12,7,2,0,4,1,47,38.1,12
66,396,75,2024-04-02,DAL,@,GSW,L 100-104,*,39:12,11,22,.500,5,11,.455,6,11,.545,.614,3,4,.750,1,11,12,11,0,0,5,1,30,24.9,9
67,397,76,2024-04-04,DAL,,ATL,W 109-95,*,37:02,8,25,.320,6,15,.400,2,10,.200,.440,3,3,1.000,0,12,12,8,2,1,5,3,25,16.4,21
67,,77,2024-04-05,DAL,,GSW,W 108-106,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
68,398,78,2024-04-07,DAL,,HOU,W 147-136 (OT),*,45:25,12,21,.571,4,10,.400,8,11,.727,.667,9,9,1.000,2,7,9,12,0,2,7,5,37,31.4,20
69,399,79,2024-04-09,DAL,@,CHO,W 130-104,*,34:45,13,25,.520,8,17,.471,5,8,.625,.680,5,7,.714,2,10,12,10,0,1,4,2,39,33.2,22
70,400,80,2024-04-10,DAL,@,MIA,W 111-92,*,35:59,9,23,.391,4,15,.267,5,8,.625,.478,7,8,.875,1,8,9,9,0,0,3,4,29,20.9,7
70,,81,2024-04-12,DAL,,DET,L 89-107,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
70,,82,2024-04-14,DAL,@,OKC,L 86-135,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,46-24,70,2624,804,1652,.487,284,744,.382,520,908,.573,.573,478,608,.786,59,588,647,686,99,38,282,149,2370,28.1,319
