Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,331,1,2023-10-25,DAL,@,SAS,W 126-119,*,34:14,13,25,.520,3,11,.273,10,14,.714,.580,4,7,.571,1,12,13,10,2,0,4,1,33,28.4,4
2,332,2,2023-10-27,DAL,,BRK,W 125-120,*,36:02,16,25,.640,9,14,.643,7,11,.636,.820,8,10,.800,1,9,10,7,0,0,0,1,49,45.0,9
3,333,3,2023-10-30,DAL,@,MEM,W 125-110,*,40:00,11,22,.500,6,12,.500,5,10,.500,.636,7,10,.700,0,12,12,12,1,1,6,4,35,28.9,6
4,334,4,2023-11-01,DAL,,CHI,W 114-105,*,40:03,5,16,.313,1,8,.125,4,8,.500,.344,7,9,.778,0,7,7,10,2,1,6,2,18,13.0,11
5,335,5,2023-11-03,DAL,@,DEN,L 114-125,*,38:16,11,24,.458,6,11,.545,5,13,.385,.583,6,7,.857,3,7,10,8,0,1,9,2,34,21.9,-4
6,336,6,2023-11-05,DAL,,CHO,W 124-118,*,36:25,8,19,.421,1,9,.111,7,10,.700,.447,6,7,.857,1,11,12,9,0,1,4,3,23,18.3,3
7,337,7,2023-11-06,DAL,@,ORL,W 117-102,*,35:09,9,17,.529,5,10,.500,4,7,.571,.676,6,6,1.000,0,3,3,6,2,0,6,2,29,21.0,7
8,338,8,2023-11-08,DAL,,TOR,L 116-127,*,38:24,11,26,.423,2,10,.200,9,16,.563,.462,7,10,.700,0,7,7,8,4,1,4,3,31,23.2,-7
9,339,9,2023-11-10,DAL,,LAC,W 144-126,*,31:41,17,21,.810,6,9,.667,11,12,.917,.952,4,4,1.000,0,6,6,6,1,0,1,1,44,41.7,32
10,340,10,2023-11-12,DAL,@,NOP,W 136-124,*,27:59,11,18,.611,4,9,.444,7,9,.778,.722,4,5,.800,0,4,4,9,1,0,2,0,30,27.9,14
11,341,11,2023-11-14,DAL,@,NOP,L 110-131,*,26:15,5,16,.313,3,5,.600,2,11,.182,.406,3,5,.600,1,1,2,2,0,0,8,0,16,0.4,-26
12,342,12,2023-11-15,DAL,@,WAS,W 130-117,*,32:25,7,18,.389,4,11,.364,3,7,.429,.500,8,12,.667,1,6,7,10,0,0,3,2,26,20.3,12
13,343,13,2023-11-18,DAL,@,MIL,L 125-132,*,35:19,15,26,.577,4,9,.444,11,17,.647,.654,1,4,.250,1,8,9,9,0,0,3,1,35,27.6,-17
14,344,14,2023-11-19,DAL,,SAC,L 113-129,*,31:47,7,19,.368,3,7,.429,4,12,.333,.447,8,10,.800,1,9,10,7,3,0,2,0,25,23.0,-14
15,345,15,2023-11-22,DAL,@,LAL,W 104-101,*,38:45,10,26,.385,3,12,.250,7,14,.500,.442,7,8,.875,0,12,12,8,2,0,0,2,30,25.8,-11
16,346,16,2023-11-25,DAL,@,LAC,L 88-107,*,38:05,12,27,.444,1,8,.125,11,19,.579,.463,5,5,1.000,0,3,3,4,2,2,4,4,30,17.4,-14
17,347,17,2023-11-28,DAL,,HOU,W 121-115,*,37:56,15,29,.517,3,10,.300,12,19,.632,.569,8,9,.889,0,9,9,9,2,0,0,3,41,36.1,12
17,,18,2023-12-01,DAL,,MEM,L 94-108,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
18,348,19,2023-12-02,DAL,,OKC,L 120-126,*,45:59,11,22,.500,5,13,.385,6,9,.667,.614,9,14,.643,2,13,15,18,2,2,7,2,36,36.5,-7
19,349,20,2023-12-06,DAL,,UTA,W 147-97,*,31:57,14,25,.560,6,12,.500,8,13,.615,.680,6,8,.750,2,8,10,11,1,0,4,2,40,35.0,34
20,350,21,2023-12-08,DAL,@,POR,W 125-112,*,41:09,11,28,.393,3,14,.214,8,14,.571,.446,7,8,.875,0,6,6,10,1,1,5,1,32,21.5,13
21,351,22,2023-12-11,DAL,@,MEM,W 120-113,*,43:53,9,21,.429,5,10,.500,4,11,.364,.548,12,13,.923,0,8,8,6,2,2,3,3,35,29.3,3
22,352,23,2023-12-12,DAL,,LAL,W 127-125,*,43:20,12,28,.429,3,10,.300,9,18,.500,.482,6,6,1.000,0,6,6,17,1,0,4,0,33,28.9,10
23,353,24,2023-12-14,DAL,,MIN,L 101-119,*,39:19,15,27,.556,2,7,.286,13,20,.650,.593,7,7,1.000,1,5,6,13,2,0,8,2,39,30.6,-12
24,354,25,2023-12-16,DAL,@,POR,W 131-120,*,37:21,15,28,.536,4,12,.333,11,16,.688,.607,6,6,1.000,2,10,12,10,1,0,4,3,40,33.6,-4
25,355,26,2023-12-18,DAL,@,DEN,L 104-130,*,36:22,13,24,.542,6,12,.500,7,12,.583,.667,6,10,.600,3,8,11,8,0,0,3,1,38,31.5,-29
26,356,27,2023-12-20,DAL,,LAC,L 111-120,*,44:22,9,25,.360,2,11,.182,7,14,.500,.400,8,14,.571,1,8,9,10,1,0,5,1,28,17.4,-4
26,,28,2023-12-22,DAL,@,HOU,L 96-122,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
27,357,29,2023-12-23,DAL,,SAS,W 144-119,*,31:37,13,27,.481,5,10,.500,8,17,.471,.574,8,11,.727,2,10,12,10,1,1,2,1,39,34.8,37
28,358,30,2023-12-25,DAL,@,PHO,W 128-114,*,43:31,15,25,.600,8,16,.500,7,9,.778,.760,12,12,1.000,1,5,6,15,4,3,4,2,50,52.5,16
29,359,31,2023-12-27,DAL,,CLE,L 110-113,*,36:36,14,29,.483,3,10,.300,11,19,.579,.534,8,10,.800,0,7,7,6,2,2,5,0,39,28.2,-9
29,,32,2023-12-28,DAL,@,MIN,L 110-118,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
30,360,33,2023-12-30,DAL,@,GSW,W 132-122,*,37:31,14,29,.483,5,13,.385,9,16,.563,.569,6,7,.857,0,8,8,10,1,1,4,3,39,29.8,9
31,361,34,2024-01-01,DAL,@,UTA,L 90-127,*,33:44,6,20,.300,3,13,.231,3,7,.429,.375,4,6,.667,0,6,6,14,1,0,4,1,19,14.8,-17
32,362,35,2024-01-03,DAL,,POR,W 126-97,*,30:32,13,21,.619,4,7,.571,9,14,.643,.714,11,14,.786,0,6,6,5,1,0,4,1,41,32.2,23
32,,36,2024-01-05,DAL,,POR,W 139-103,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
33,363,37,2024-01-07,DAL,,MIN,W 115-108,*,39:19,12,26,.462,5,12,.417,7,14,.500,.558,5,8,.625,0,6,6,8,1,0,3,3,34,23.6,5
34,364,38,2024-01-09,DAL,,MEM,L 103-120,*,35:54,9,21,.429,2,8,.250,7,13,.538,.476,11,15,.733,0,6,6,6,3,0,3,1,31,23.9,-14
34,,39,2024-01-11,DAL,,NYK,W 128-124,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,40,2024-01-13,DAL,,NOP,L 108-118,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,41,2024-01-15,DAL,,NOP,W 125-120,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
35,365,42,2024-01-17,DAL,@,LAL,L 110-127,*,36:12,12,24,.500,2,9,.222,10,15,.667,.542,7,9,.778,0,13,13,10,2,2,4,2,33,29.7,-15
36,366,43,2024-01-22,DAL,,BOS,L 110-119,*,39:38,12,30,.400,2,8,.250,10,22,.455,.433,7,11,.636,5,13,18,13,2,0,3,5,33,28.7,-13
37,367,44,2024-01-24,DAL,,PHO,L 109-132,*,38:32,11,24,.458,4,11,.364,7,13,.538,.542,8,12,.667,1,7,8,9,1,2,5,1,34,26.1,-22
38,368,45,2024-01-26,DAL,@,ATL,W 148-143,*,44:43,25,33,.758,8,13,.615,17,20,.850,.879,15,16,.938,0,10,10,7,1,0,4,1,73,64.0,13
39,369,46,2024-01-27,DAL,,SAC,L 115-120,*,46:08,9,26,.346,1,9,.111,8,17,.471,.365,9,12,.750,2,8,10,17,2,1,3,3,28,26.4,2
40,370,47,2024-01-29,DAL,,ORL,W 131-129,*,43:00,12,23,.522,3,8,.375,9,15,.600,.587,18,21,.857,0,9,9,15,2,0,4,4,45,42.1,3
40,,48,2024-01-31,DAL,@,MIN,L 87-121,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
41,371,49,2024-02-03,DAL,,MIL,L 117-129,*,42:25,13,26,.500,4,12,.333,9,14,.643,.577,10,11,.909,1,8,9,11,1,0,9,4,40,27.8,-12
42,372,50,2024-02-05,DAL,@,PHI,W 118-102,*,35:34,6,15,.400,4,10,.400,2,5,.400,.533,3,5,.600,0,8,8,3,1,0,3,3,19,11.4,17
43,373,51,2024-02-06,DAL,@,BRK,W 119-107,*,43:01,13,27,.481,4,11,.364,9,16,.563,.556,5,10,.500,1,17,18,9,2,1,1,3,35,31.9,6
44,374,52,2024-02-08,DAL,@,NYK,W 122-108,*,40:09,13,24,.542,7,14,.500,6,10,.600,.688,6,7,.857,0,8,8,11,4,1,3,1,39,38.4,18
45,375,53,2024-02-10,DAL,,OKC,W 146-111,*,31:18,9,14,.643,4,8,.500,5,6,.833,.786,10,13,.769,0,8,8,9,0,0,3,3,32,29.1,18
46,376,54,2024-02-12,DAL,,WAS,W 112-104,*,37:17,8,16,.500,2,7,.286,6,9,.667,.563,8,11,.727,1,10,11,15,1,2,5,3,26,27.2,19
47,377,55,2024-02-14,DAL,,SAS,W 116-93,*,31:19,11,20,.550,1,8,.125,10,12,.833,.575,4,4,1.000,0,9,9,8,2,1,5,2,27,22.6,25
