Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
55,319,65,2023-03-05,DAL,,PHO,L 126-130,*,35:25,8,23,.348,1,9,.111,7,14,.500,.370,17,19,.895,0,9,9,4,0,0,5,4,34,19.2,-11
56,320,66,2023-03-07,DAL,,UTA,W 120-116,*,34:26,10,23,.435,4,11,.364,6,12,.500,.522,5,8,.625,1,9,10,6,2,1,6,2,29,19.2,2
57,321,67,2023-03-08,DAL,@,NOP,L 106-113,*,27:49,4,14,.286,1,5,.200,3,9,.333,.321,6,8,.750,0,3,3,8,1,0,1,0,15,12.5,-4
57,,68,2023-03-11,DAL,@,MEM,L 108-112,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
57,,69,2023-03-13,DAL,,MEM,L 88-104,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
57,,70,2023-03-15,DAL,@,SAS,W 137-128 (OT),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
57,,71,2023-03-17,DAL,@,LAL,W 111-110,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
57,,72,2023-03-20,DAL,@,MEM,L 108-112,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
58,322,73,2023-03-22,DAL,,GSW,L 125-127,*,41:07,11,27,.407,2,10,.200,9,17,.529,.444,6,10,.600,1,6,7,17,1,0,5,3,30,23.1,2
59,323,74,2023-03-24,DAL,,CHO,L 109-117,*,37:06,12,23,.522,2,9,.222,10,14,.714,.565,8,10,.800,0,10,10,8,0,1,5,0,34,26.2,-1
60,324,75,2023-03-26,DAL,@,CHO,L 104-110,*,40:00,12,29,.414,7,16,.438,5,13,.385,.534,9,10,.900,1,11,12,8,2,2,4,2,40,32.3,-11
61,325,76,2023-03-27,DAL,@,IND,W 127-104,*,28:01,8,17,.471,4,10,.400,4,7,.571,.588,5,5,1.000,2,5,7,6,1,0,0,0,25,24.4,9
62,326,77,2023-03-29,DAL,@,PHI,L 108-116,*,37:10,9,20,.450,4,9,.444,5,11,.455,.550,2,2,1.000,1,9,10,8,0,1,4,3,24,18.1,-7
63,327,78,2023-04-01,DAL,@,MIA,L 122-129,*,44:31,17,25,.680,2,6,.333,15,19,.789,.720,6,7,.857,0,10,10,8,2,0,3,4,42,36.9,-6
64,328,79,2023-04-02,DAL,@,ATL,L 130-132 (OT),*,43:46,8,21,.381,3,12,.250,5,9,.556,.452,3,4,.750,0,7,7,7,0,1,5,2,22,12.0,-1
65,329,80,2023-04-05,DAL,,SAC,W 123-119,*,38:44,9,19,.474,3,11,.273,6,8,.750,.553,8,10,.800,1,9,10,6,1,0,1,3,29,24.9,12
66,330,81,2023-04-07,DAL,,CHI,L 112-115,*,12:35,4,11,.364,0,5,.000,4,6,.667,.364,5,7,.714,0,5,5,3,0,0,0,1,13,9.3,5
66,,82,2023-04-09,DAL,,SAS,L 117-138,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,33-33,66,2389,719,1449,.496,185,541,.342,534,908,.588,.560,515,694,.742,54,515,569,529,90,33,236,166,2138,26.0,128
