Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,265,1,2022-10-19,DAL,@,PHO,L 105-107,*,36:40,10,23,.435,2,10,.200,8,13,.615,.478,13,13,1.000,0,9,9,6,1,0,4,3,35,25.6,-16
2,266,2,2022-10-22,DAL,,MEM,W 137-96,*,29:58,12,23,.522,4,9,.444,8,14,.571,.609,4,5,.800,2,5,7,10,2,2,3,2,32,29.8,31
3,267,3,2022-10-25,DAL,@,NOP,L 111-113,*,36:19,16,30,.533,2,13,.154,14,17,.824,.567,3,5,.600,3,8,11,7,2,1,3,3,37,29.5,6
4,268,4,2022-10-27,DAL,@,BRK,W 129-125 (OT),*,40:30,14,28,.500,2,6,.333,12,22,.545,.536,11,13,.846,1,10,11,14,3,0,5,2,41,36.9,20
5,269,5,2022-10-29,DAL,,OKC,L 111-117 (OT),*,40:00,8,23,.348,0,6,.000,8,17,.471,.348,15,19,.789,2,14,16,10,1,0,3,6,31,24.7,-25
6,270,6,2022-10-30,DAL,,ORL,W 114-105,*,36:55,17,26,.654,2,9,.222,15,17,.882,.692,8,14,.571,0,3,3,5,1,0,0,3,44,34.4,13
7,271,7,2022-11-02,DAL,,UTA,W 103-100,*,35:28,12,20,.600,2,6,.333,10,14,.714,.650,7,10,.700,0,5,5,11,2,0,5,3,33,27.6,-3
8,272,8,2022-11-04,DAL,,TOR,W 111-110,*,36:33,10,15,.667,3,6,.500,7,9,.778,.767,12,14,.857,1,7,8,6,3,1,4,4,35,32.8,8
9,273,9,2022-11-07,DAL,,BRK,W 96-94,*,38:25,11,22,.500,5,9,.556,6,13,.462,.614,9,12,.750,0,6,6,6,2,1,5,5,36,25.5,1
10,274,10,2022-11-09,DAL,@,ORL,L 87-94,*,35:25,9,29,.310,2,11,.182,7,18,.389,.345,4,7,.571,0,6,6,6,3,2,0,3,24,15.3,-3
11,275,11,2022-11-10,DAL,@,WAS,L 105-113,*,39:10,8,21,.381,3,8,.375,5,13,.385,.452,3,9,.333,0,9,9,6,2,0,5,2,22,11.2,-6
12,276,12,2022-11-12,DAL,,POR,W 117-112,*,37:41,13,22,.591,1,5,.200,12,17,.706,.614,15,18,.833,3,10,13,10,2,1,2,3,42,42.2,6
13,277,13,2022-11-15,DAL,,LAC,W 103-101,*,39:43,11,22,.500,2,5,.400,9,17,.529,.545,11,11,1.000,2,9,11,5,3,0,3,3,35,30.4,4
13,,14,2022-11-16,DAL,,HOU,L 92-101,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
14,278,15,2022-11-18,DAL,,DEN,W 127-99,*,34:52,11,22,.500,2,7,.286,9,15,.600,.545,9,11,.818,1,11,12,11,1,0,2,1,33,31.5,25
15,279,16,2022-11-20,DAL,,DEN,L 97-98,*,35:39,7,16,.438,2,8,.250,5,8,.625,.500,6,10,.600,0,9,9,8,1,0,4,2,22,16.5,1
16,280,17,2022-11-23,DAL,@,BOS,L 112-125,*,39:36,17,28,.607,3,8,.375,14,20,.700,.661,5,9,.556,1,7,8,9,0,0,5,4,42,30.1,-13
17,281,18,2022-11-26,DAL,@,TOR,L 100-105,*,42:43,8,15,.533,2,4,.500,6,11,.545,.600,6,9,.667,0,7,7,9,2,1,4,2,24,21.8,2
18,282,19,2022-11-27,DAL,@,MIL,L 115-124,*,35:05,10,20,.500,3,7,.429,7,13,.538,.575,4,9,.444,0,5,5,12,0,0,6,2,27,18.1,-10
19,283,20,2022-11-29,DAL,,GSW,W 116-113,*,39:17,14,27,.519,4,9,.444,10,18,.556,.593,9,15,.600,2,10,12,12,4,1,5,3,41,36.6,22
20,284,21,2022-12-01,DAL,@,DET,L 125-131 (OT),*,41:02,13,25,.520,7,14,.500,6,11,.545,.660,2,6,.333,0,5,5,10,3,0,3,3,35,28.4,-13
21,285,22,2022-12-03,DAL,@,NYK,W 121-100,*,29:28,11,21,.524,4,9,.444,7,12,.583,.619,4,4,1.000,0,8,8,7,1,3,5,2,30,24.3,13
22,286,23,2022-12-05,DAL,,PHO,W 130-111,*,29:25,12,20,.600,4,9,.444,8,11,.727,.700,5,7,.714,1,5,6,8,1,2,3,3,33,29.0,20
23,287,24,2022-12-06,DAL,@,DEN,W 116-115,*,37:20,5,17,.294,4,9,.444,1,8,.125,.412,8,9,.889,0,10,10,12,0,1,5,2,22,18.0,7
24,288,25,2022-12-09,DAL,,MIL,L 105-106,*,36:33,13,28,.464,3,11,.273,10,17,.588,.518,4,10,.400,1,5,6,11,2,0,1,2,33,26.3,6
24,,26,2022-12-10,DAL,@,CHI,L 115-144,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
25,289,27,2022-12-12,DAL,,OKC,W 121-114,*,36:59,13,27,.481,3,10,.300,10,17,.588,.537,9,10,.900,0,11,11,8,0,0,4,3,38,27.6,1
26,290,28,2022-12-14,DAL,,CLE,L 90-105,*,39:19,9,23,.391,2,8,.250,7,15,.467,.435,10,11,.909,2,3,5,6,1,1,5,4,30,18.7,-20
27,291,29,2022-12-16,DAL,,POR,W 130-110,*,28:49,11,18,.611,5,9,.556,6,9,.667,.750,6,7,.857,0,6,6,9,0,0,4,3,33,27.3,16
27,,30,2022-12-17,DAL,@,CLE,L 99-100 (OT),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
28,292,31,2022-12-19,DAL,@,MIN,L 106-116,*,28:24,5,17,.294,3,8,.375,2,9,.222,.382,6,7,.857,1,5,6,7,1,0,4,2,19,12.0,-14
29,293,32,2022-12-21,DAL,@,MIN,W 104-99,*,37:04,8,16,.500,1,5,.200,7,11,.636,.531,8,9,.889,1,8,9,10,3,0,4,1,25,25.3,7
30,294,33,2022-12-23,DAL,@,HOU,W 112-106,*,42:16,17,30,.567,6,12,.500,11,18,.611,.667,10,12,.833,0,8,8,10,3,0,7,3,50,39.2,0
31,295,34,2022-12-25,DAL,,LAL,W 124-115,*,39:18,9,16,.563,2,3,.667,7,13,.538,.625,12,16,.750,3,6,9,9,2,0,3,5,32,30.0,24
32,296,35,2022-12-27,DAL,,NYK,W 126-121 (OT),*,47:09,21,31,.677,2,6,.333,19,25,.760,.710,16,22,.727,5,16,21,10,2,1,4,5,60,56.3,7
33,297,36,2022-12-29,DAL,,HOU,W 129-114,*,34:17,11,21,.524,4,9,.444,7,12,.583,.619,9,12,.750,1,11,12,13,1,2,2,1,35,36.6,19
34,298,37,2022-12-31,DAL,@,SAS,W 126-125,*,37:14,18,29,.621,6,10,.600,12,19,.632,.724,9,15,.600,1,5,6,9,4,1,0,3,51,47.5,7
35,299,38,2023-01-02,DAL,@,HOU,W 111-106,*,41:14,10,26,.385,1,9,.111,9,17,.529,.404,18,22,.818,2,10,12,8,1,0,4,2,39,29.4,9
36,300,39,2023-01-05,DAL,,BOS,L 95-124,*,31:06,7,23,.304,0,6,.000,7,17,.412,.304,9,11,.818,0,9,9,3,0,0,4,4,23,8.1,-20
37,301,40,2023-01-07,DAL,,NOP,W 127-117,*,39:26,10,23,.435,3,6,.500,7,17,.412,.500,11,15,.733,0,10,10,10,0,1,7,4,34,22.4,7
37,,41,2023-01-08,DAL,@,OKC,L 109-120,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
38,302,42,2023-01-10,DAL,@,LAC,L 101-113,*,42:48,12,22,.545,3,9,.333,9,13,.692,.614,16,21,.762,0,11,11,7,2,0,3,2,43,36.8,-9
39,303,43,2023-01-12,DAL,@,LAL,W 119-115 (2OT),*,52:43,14,28,.500,4,9,.444,10,19,.526,.571,3,7,.429,2,12,14,13,1,1,5,5,35,28.2,10
40,304,44,2023-01-14,DAL,@,POR,L 119-136,*,35:33,7,19,.368,0,5,.000,7,14,.500,.368,1,6,.167,0,6,6,10,1,1,1,2,15,11.2,-17
40,,45,2023-01-15,DAL,@,POR,L 123-140,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
41,305,46,2023-01-18,DAL,,ATL,L 122-130,*,39:28,9,19,.474,2,8,.250,7,11,.636,.526,10,12,.833,0,4,4,8,0,0,7,3,30,18.1,-5
42,306,47,2023-01-20,DAL,,MIA,W 115-90,*,37:50,12,24,.500,5,8,.625,7,16,.438,.604,5,8,.625,1,11,12,7,1,0,3,0,34,27.7,29
43,307,48,2023-01-22,DAL,,LAC,L 98-112,*,38:50,9,21,.429,3,7,.429,6,14,.429,.500,8,13,.615,3,7,10,4,1,0,4,3,29,18.7,-23
44,308,49,2023-01-24,DAL,,WAS,L 126-127,*,37:46,16,29,.552,0,4,.000,16,25,.640,.552,9,12,.750,0,15,15,6,1,0,3,3,41,31.4,-2
45,309,50,2023-01-26,DAL,@,PHO,W 99-95,*,03:21,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-4
45,,51,2023-01-28,DAL,@,UTA,L 100-108,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
46,310,52,2023-01-30,DAL,,DET,W 111-105,*,36:09,17,24,.708,5,11,.455,12,13,.923,.813,14,18,.778,0,8,8,5,2,0,4,2,53,44.5,8
47,311,53,2023-02-02,DAL,,NOP,W 111-106,*,22:54,12,19,.632,2,7,.286,10,12,.833,.684,5,8,.625,0,8,8,4,2,0,4,2,31,23.7,17
47,,54,2023-02-04,DAL,@,GSW,L 113-119,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
47,,55,2023-02-06,DAL,@,UTA,W 124-111,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
47,,56,2023-02-08,DAL,@,LAC,W 110-104,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
47,,57,2023-02-10,DAL,@,SAC,W 122-114,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
48,312,58,2023-02-11,DAL,@,SAC,L 128-133 (OT),*,41:00,11,20,.550,2,9,.222,9,11,.818,.600,3,5,.600,1,8,9,5,0,0,6,0,27,17.2,2
49,313,59,2023-02-13,DAL,,MIN,L 121-124,*,36:03,10,20,.500,2,7,.286,8,13,.615,.550,11,15,.733,1,11,12,6,1,0,4,3,33,25.4,-12
50,314,60,2023-02-15,DAL,@,DEN,L 109-118,*,34:59,12,22,.545,3,8,.375,9,14,.643,.614,10,12,.833,1,3,4,9,4,0,2,1,37,35.1,-12
51,315,61,2023-02-23,DAL,,SAS,W 142-116,*,30:21,8,16,.500,1,6,.167,7,10,.700,.531,11,12,.917,0,7,7,10,2,2,1,0,28,31.1,8
52,316,62,2023-02-26,DAL,,LAL,L 108-111,*,36:23,10,22,.455,4,8,.500,6,14,.429,.545,2,4,.500,0,9,9,5,1,0,6,3,26,13.8,-8
53,317,63,2023-02-28,DAL,,IND,L 122-124,*,37:34,14,25,.560,3,9,.333,11,16,.688,.620,8,12,.667,1,7,8,6,0,1,2,3,39,30.0,-2
54,318,64,2023-03-02,DAL,,PHI,W 133-126,*,39:47,13,22,.591,7,13,.538,6,9,.667,.750,9,11,.818,1,3,4,12,1,0,5,2,42,36.2,20
